Act Name,Content,Act Number,Date & Year,Sections,Key Clauses,AI Summary
"Madhya Pradesh Reorganisation Act, 2000","The Madhya Pradesh Reorganisation Act, 2000
[Act No. 28 of 2000]
[25th August, 2000.]",Act No. 28 of 2000,Not Available,Not Available,General,"Madhya Pradesh Reorganisation Act, 2000, is an Act of the Parliament of India which enabled the creation of Chhattisgarh state out of Madhya Pradesh. The law was introduced by the NDA government headed by Prime Minister Atal Bihari Vajpayee to fulfil its election promise."
"Mahatma Gandhi National Rural Employment Guarantee Act, 2005","The Mahatma Gandhi National Rural Employment Guarantee Act, 2005
[Act No. 42 of 2005]
[5th September, 2005.]



Contents



Sections
Particulars


Titele
The Mahatma Gandhi National Rural Employment Guarantee Act


Chapter I
Preliminary


1.
Short title, extent and commencement


2.
Definitions


Chapter II
Guarantee of Employment in Rural Areas


3.
Guarantee of rural employment to households


Chapter III
Emoployment Guarantee Schemes and Unemployment Allowance


4.
Employment Guarantee Schemes for rural areas


5.
Conditions for providing guaranteed employment


6.
Wage rate


7.
Payment of unemployment allowance


8.
Non-disbursement of unemployment allowance in certain circumstances


9.
Disentitlement to receive unemployment allowance in certain circumstances


Chapter IV
Implementing and Monitoring Authorities


10.
Central Employment Guarantee Council


11.
Functions and duties of Central Council


12.
State Employment Guarantee Council


13.
Principal authorities for planning and implementation of Schemes


14.
District Programme Coordinator


15.
Programme Officer


16.
Responsibilities of the Gram Panchayats


17.
Social audit of work by Gram Sabha


18.
Responsibilities of State Government in implementing Scheme


19.
Grievance redressal mechanism


Chapter V
Establishment of National and State Employment Guarantee Funds and Audit


20.
National Employment Guarantee Fund


21.
State Employment Guarantee Fund


22.
Funding pattern


23.
Transparency and accountability


24.
Audit of accounts


Chapter VI
Miscellaneous


25.
Penalty for non-compliance


26.
Power to delegate


27.
Power of Central Government to give directions


28.
Act to have overriding effect


29.
Power to amend Schedules


30.
Protection of action taken in good faith


31.
Power of Central Government to make rules


32.
Power of State Government to make rules


33.
Laying of rules and Schemes


34.
Power to remove difficulties


The Schedules



Schedules 1
Minimum Features of A Rural Employment Guarantee Scheme


Schedules 2
Conditions for Guaranteed Rural Employment Under A Scheme and Minimum Entitlements of Labourers






 Back



[Act No. 42 of 2005]
[5th September, 2005.]",Act No. 42 of 2005,Not Available,Not Available,"Penalty, Compliance","Mahatma Gandhi National Rural Employment Guarantee Act 2005 or MGNREGA, earlier known as the National Rural Employment Guarantee Act or NREGA, is an Indian social welfare measure that aims to guarantee the 'right to work'. This act was passed on 23 August 2005 and was implemented in February 2006 under the UPA government of Prime Minister Manmohan Singh following tabling of the bill in parliament by the Minister for Rural Development Raghuvansh Prasad Singh.
It aims to enhance livelihood security in rural areas by providing at least 100 days of assured and guaranteed wage employment in a financial year to at least one member of every Indian rural household whose adult members volunteer to do unskilled manual work. Women are guaranteed one third of the jobs made available under the MGNREGA and efforts are made to ensure that at least 50%. Another aim of MGNREGA is to create durable assets (such as roads, canals, ponds and wells). Employment is to be provided within 5 km of an applicant'"
"Maintenance and Welfare of Parents and Senior Citizens Act, 2007","Maintenance and Welfare of Parents and Senior Citizens Act, 2007",Not Available,Not Available,Not Available,General,"Maintenance and Welfare of Parents and Senior Citizens Act, 2007 is a legislation, initiated by Ministry of Social Justice and Empowerment, Government of India to provide more effective provision for maintenance and welfare of parents and senior citizens. It makes it a legal obligation for children and heirs to provide maintenance to senior citizens and parents, by monthly allowance. It also provides simple, speedy and inexpensive mechanism for the protection of life and property of the older persons.  After being passed by the Parliament of India, it received President's assent on December 29, 2007.
The first case under the act was filed in November 2011 by Siluvai (age 84) and his wife Arulammal (age 80) of Tuticorin against their son and daughter-in-law for neglect, besides taking away their two homes and gold jewellery."
"Maternity Benefit (Amendment) Act, 2017","The Maternity Benefit (Amendment) Act, 2017
[Act No. 6 of 2017]
[27th March, 2017.]



Contents



Title
The Maternity Benefit (Amendment) Act, 2017


Sections
Particulars


1.
Short title and commencement


2.
Amendment of section 3


3.
Amendment of section 5


4.
Insertion of new section 11A






 Back



[Act No. 6 of 2017]
[27th March, 2017.]",Act No. 6 of 2017,Not Available,"section 11, section 5, section 3",General,"The Maternity (Amendment) Bill 2017, an amendment to the Maternity Benefit Act, 1961, was passed in Rajya Sabha on 11 August 2016, in Lok Sabha on 9 March 2017, and received an assent from President of India on 27 March 2017. The Maternity Benefit Act, 1961 protects the employment of women during the time of her maternity and entitles her of a 'maternity benefit' – i.e. full paid absence from work – to take care for her child. The Act is applicable to all establishments employing 10 or more than 10 persons in Factories, Mines, Plantation, Shops & Establishments and other entities. Establishments employing 50 or more employees are also required to provide crèche facilities, either separately or along with common facilities within a prescribed distance.
The provisions of this act are effective from 1 April 2017. However, provision on creche facility (Section 11A) shall be effective from 1 July 2017. The Code on Social Security, 2020 consolidated the provisions of this and several other a"
"Mental Health Act, 1987","The Mental Health Act, 1987
[Act No. 14 of 1987]
[22nd May, 1987.]



Contents



Sections
Particulars


Title
The Mental Health Act, 1987


Chapter I
Preliminary


1.
Short title, extent and commencement


2.
Definitions


Chapter II
Mental Health Authorities


3.
Central Authority for Mental Health Services


4.
State Authority for Mental Health Services


Chapter III
Psychiatric Hospitals and Psychiatric Nursing Homes


5.
Establishment or maintenance of psychiatric hospitals and psychiatric nursing homes


6.
Establishment or maintenance of psychiatric hospitals or psychiatric nursing homes only with licence


7.
Application for licence


8.
Grant or refusal of licence


9.
Duration and renewal of licence


10.
Psychiatric hospital and psychiatric nursing home to be maintained in accordance with prescribed conditions


11.
Revocation of licence


12.
Appeal


13.
Inspection of psychiatric hospitals and psychiatric nursing homes and visiting of patients


14.
Treatment of outpatients


Chapter IV
Admission and Detention in Psychiatric Hospital or Psychiatric Nursing Home


Part I
Admission on Voluntary Basis e

15.
Request by major for admission as voluntary patient


16.
Request by guardian for admission of a ward


17.
Admission of, and regulation with respect to, voluntary patients


18.
Discharge of voluntary patients


Part II
Admission Under special Circumstances


19.
Admission of mentally ill persons under certain special circumstances


Part III
Reception Orders


A.
Reception Orders on Applications


20.
Application for reception order


21.
Form and contents of medical certificates


22.
Procedure upon application for reception order


B.
Reception Orders on Production of Mentally ill Persons Before Magistrate


23.
Powers and duties of police officers in respect of certain mentally ill persons


24.
Procedure on production of mentally ill person


25.
Order in case of mentally ill person cruelly treated or not under proper care and control


C.
Further provisions regarding admission and detention of certain mentally ill persons


26.
Admission as inpatient after inquisition


27.
Admission and detention of mentally ill prisoner


28.
Detention of alleged mentally ill person pending report by medical officer


29.
Detention of mentally ill person pending his removal to psychiatric hospital or psychiatric nursing home


D.
Miscellaneous provisions in relation to order under this Chapter


30.
Time and manner of medical examination of mentally ill person


31.
Authority for reception order


32.
Copy of reception order to be sent to medical officer in-charge


33.
Restriction as to psychiatric hospitals and psychiatric nursing homes into which reception order may direct admission


34.
Amendment of order or document


35.
Power to appoint substitute for person upon whose application reception order has been made


36.
Officers competent to exercise powers and discharge functions of Magistrate under certain sections


Chapter V
Inspection, Discharge, Leave of Absence and Removal of Mentally ill Persons


Part I
Inspection


37.
Appointment of Visitors


38.
Monthly inspection by Visitors


39.
Inspection of mentally ill prisoners


Part II
Discharge


40.
Order of discharge by medical officer in charge


41.
Discharge of mentally ill persons on application


42.
Order of discharge on the undertaking of relatives or friends, etc., for due care of mentally ill person


43.
Discharge of person on his request


44.
Discharge of person subsequently found on inquisition to be of sound mind


Part III
Leave of Absence


45.
Leave of absence


46.
Grant of leave of absence by Magistrate


Part IV
Removal


47.
Removal of mentally ill person from one psychiatric hospital or psychiatric nursing home to any other psychiatric hospital or psychiatric nursing home


48.
Admission, detention and retaking in certain cases


49.
Appeal from orders of Magistrate


Chapter VI
Judicial Inquisition Regarding Alleged Mentally ill Person Possessing Property, Custody of His Person and Management of His Property


50.
Application for judicial inquisition


51.
Issues on which finding should be given by District Court after inquisition


52.
Provision for appointing guardian of mentally ill person and for manager of property


53.
Appointment of guardian of mentally ill person


54.
Appointment of manager for management of property of mentally ill person


55.
Appointment of manager by Collector


56.
Manager of property to execute bond


57.
Appointment and remuneration of guardians and managers


58.
Duties of guardian and manager


59
Powers of manager


60.
Manager to furnish inventory and annual accounts


61.
Manager's power to execute conveyances under orders of District Court


62.
Manager to perform contracts directed by District Court


63.
Disposal of business premises


64.
Manager may dispose of leases


65.
Power to make order concerning any matter connected with mentally ill person


66.
Proceeding if accuracy of inventory or accounts is impugned


67.
Payment into public treasury and investment of proceeds of estate


68.
Relative may sue for account


69.
Removal of managers and guardians


70.
Dissolution and disposal of property of partnership on a member becoming mentally ill


71.
Power to apply property for maintenance of mentally ill person without appointing manager in certain cases


72.
Power to order transfer of stock, securities or shares belonging to mentally ill person in certain cases


73.
Power to order transfer of stock, securities or shares of mentally ill persons residing out of India


74.
Power to apply property for mentally ill person's maintenance in case of temporary mental illness


75.
Action taken in respect of mentally ill person to be set aside if District Court finds that his mental illness has ceased


76.
Appeals


77.
Power of District Court to make regulations


Chapter VII
Liability to Meet Cost of Maintenance of Mentally ill Persons Detained in Psychiatric Hospital or Psychiatric Nursing Home


78.
Cost of maintenance to be borne by Government in certain cases


79.
Application to District Court for payment of cost of maintenance out of estate of mentally ill person or from a person legally bound to maintain him


80.
Persons legally bound to maintain mentally ill person not absolved from such liability


Chapter VIII
Protection of Human Rights of Mentally ill Persons


81.
Mentally ill persons to be treated without violation of human rights


Chapter IX
Penalties and Procedure


82.
Penalty for establishment or maintenance of psychiatric hospital or psychiatric nursing home in contravention of Chapter III


83.
Penalty for improper reception of mentally ill person


84.
Penalty for contravention of sections 60 and 69


85.
General provision for punishment of other offences


86.
Offences by companies


87.
Sanction for prosecutions


Chapter X
Miscellaneous


88.
Provision as to bonds


89.
Report by medical officer


90.
Pension, etc., of mentally ill person payable by Government


91.
Legal aid to mentally ill person at State expense in certain cases


92.
Protection of action taken in good faith


93.
Construction of references to certain laws, etc


94.
Power of Central Government and State Government to make rules


95.
Rules made by Central Government or the State Government to be laid before the Legislature


96.
Effect of Act on other laws


97.
Power to remove difficulty


98.
Repeal and saving






 Back



[Act No. 14 of 1987]
[22nd May, 1987.]",Act No. 14 of 1987,Not Available,Not Available,Penalty,"In India, the Mental Health Act was passed on 22 May 1987. The law was described in its opening paragraph as ""An Act to consolidate and amend the law relating to the treatment and care of mentally ill persons, to make better provision with respect to their property and affairs and for matters connected therewith or incidental thereto.""
The Act superseded the previously existing national law governing the mental health issues, the Indian Lunacy Act of 1912.
The Mental Health Care Act was passed on 7 April 2017, superseding this 1987 Act and was described in its opening paragraph as ""An Act to provide for mental healthcare and services for persons with mental illness and to protect, promote and fulfil the rights of such persons during delivery of mental healthcare and services and for matters connected therewith or incidental thereto.""


== References =="
"Mental Healthcare Act, 2017","The Mental Healthcare Act, 2017
[Act No. 20 of 2017]
[7th April, 2017.]",Act No. 20 of 2017,Not Available,Not Available,General,"In India, the Mental Health Care Act 2017 was passed on 7 April 2017 and came into force from 29 May 2018. The act effectively decriminalized attempted suicide which was punishable under Section 309 of the Indian Penal Code. The law was described in its opening paragraph as ""An Act to provide for mental healthcare and services for persons with mental illness and to protect, promote and fulfill the rights of such persons during delivery of mental healthcare and services and for matters connected therewith or incidental thereto."" This Act superseded the previously existing Mental Health Act, 1987 that was passed on 22 May 1987.
It states that mental illness be determined ""in accordance with nationally and internationally accepted medical standards (including the latest edition of the International Classification of Disease of the World Health Organization) as may be notified by the Central Government."" Additionally, the Act asserts that no person or authority shall classify an individual"
"Metro Railways (Construction of Works) Act, 1978","The Metro Railways (Construction of Works) Act, 1978
[Act No. 33 of 1978]
[21st August, 1978.]



Contents



Sections
Particulars


Title
The Metro Railways (Construction of Works) Act, 1978


Chapter I
Preliminary


1.
Short title, commencement and application


2.
Definitions


Chapter II
Metro Railway Administration


3.
General Manager


4.
Constitution of Advisory Board


5.
Committees


Chapter III
Acquisition


6.
Power to acquire land, etc


7.
Publication of notification for acquisition


8.
Power to enter for survey, etc


9.
Hearing of objection


10.
Declaration of acquisition


11.
Power to take possession of acquired land, etc


12.
Right to enter into the land where right of user, etc., is vested in the Central Government


13.
Determination of amount payable for acquisition


14.
Deposit and payment of amount


15.
Competent authority to have certain powers of civil court


15A.
Power to inspect property under acquisition


16.
Competent authority and appellate authority


16A.
Powers of the appellate authority


16B.
Competent authority, etc., to have certain inherent powers


16C.
Enforcement of the orders of the competent authority and appellate authority


17.
Land Acquisition Act 1 of 1894 not to apply


Chapter IV
Construction of Works


18.
Functions of metro railway administration


19.
Powers of metro railway administration


20.
Development over metro alignment


21.
Power to prohibit or regulate construction of buildings and excavation


22.
Payment of amount for prohibition of construction, etc


23.
Power to underpin building or otherwise strengthen it


24.
Power to enter, etc


25.
Amount payable for damage, loss or injury


26.
Right to claim for damages


Chapter V
Inspection of Metro Railway


27.
Appointment and duties of commissioner


28.
Powers of commissioners


29.
Facilities to be afforded to commissioner


Chapter VI
Miscellaneous


30.
Surplus land to be sold or otherwise disposed of


31.
Notice of accidents and enquiries


32.
Power to alter the entries in the Schedule


33.
Prohibition of obstruction


34.
Local authorities to assist


35.
Prohibition of removal of marks


36.
Penalty for failure to comply with directions issued under section 21


37.
General provision for punishment of offences


38.
Offences by companies


39.
Bar of jurisdiction


40.
Effect of Act and rules, etc., inconsistent with other enactments


41.
Protection of action taken in good faith


42.
Power to remove difficulties


43.
Application of the Indian Railways Act, 1890


44.
Power to make rules


45.
Saving


The Schedule
Map






 Back



[Act No. 33 of 1978]
[21st August, 1978.]",Act No. 33 of 1978,Not Available,section 21,"Penalty, Jurisdiction","The Metro Railways (Construction of Works) Act, 1978 is an act of the Parliament of India that governs the construction of works relating to metro railways in the metropolitan cities in the country. When it was enacted in 1978, the Act applied in the first instance to the metropolitan city of Calcutta (now Kolkata). The Act also empowered the Central Government to, by notification in The Gazette of India, extend the Act to any other metropolitan city. This provision has been utilized in subsequent years to extend the Act to other metro railway systems in the country."
"Micro, Small and Medium Enterprises Development Act, 2006","The Micro, Small and Medium Enterprises Development Act, 2006
An Act to provide for facilitating the promotion and development and enhancing the competitiveness of micro, small and medium enterprises and for matters connected therewith or incidental thereto.
Whereas a declaration as to expediency of control of certain industries by the Union was made under section 2 of the Industries (Development and Regulation) Act, 1951; And whereas it is expedient to provide for facilitating the promotion and development and enhancing the competitiveness of micro, small and medium enterprises and for matters connected therewith or incidental thereto; Be it enacted by Parliament in the Fifty-seventh Year of the Republic of India as follows:",Not Available,Not Available,section 2,General,"The Micro, Small and Medium Enterprises Development Act, 2006 is an Act of the Parliament of India. According to the act, ""any buyer who fails to make payment to MSMEs, as per agreed terms or a maximum of 45 days, would be liable to pay monthly compounded interest at three times the bank rate notified by RBI"".
Industries are divided into 2 categories. Manufacturing and services. They are further divided into micro, small and medium. For both, manufacturing and services sectors, micro industries' capital requirements are under 1 Crore rupees and an annual turnover of less than 5 Crore rupees. Small industries shall have between 50 and 250 Crores respectively.


== References =="
"Mines and Minerals (Development and Regulation) Act, 1957","The Mines and Minerals (Development and Regulation) Act, 1957
Act No. 67 of 1961
[28th December, 1957.]",Act No. 67 of 1961,Not Available,Not Available,General,"The Mines and Minerals (Regulation and Development) Act (1957) is an Act of the Parliament of India enacted to regulate the mining sector in India. It was amended in 2015 and 2016. This act forms the basic framework of mining regulation in India.
This act is applicable to all minerals except  minor minerals and atomic minerals. It details the process and conditions for acquiring a mining or prospecting licence in India. Mining minor minerals comes under the purview of state governments. River sand is considered a minor mineral. For mining and prospecting in forest land, prior permission is needed from the Ministry of Environment and Forests."
"Motor Vehicles Act, 1988","The Motor Vehicles Act, 1988
[14th October, 1988.]
An Act to consolidate and amend the law relating to motor vehicles.",Not Available,Not Available,Not Available,General,"The Motor Vehicles Act is an Act of the Parliament of India which regulates all aspects of road transport vehicles. The Act provides in detail the legislative provisions regarding licensing of drivers/conductors, registration of motor vehicles, control of motor vehicles through permits, special provisions relating to state transport undertakings, traffic regulation, insurance, liability, offences and penalties, etc. For exercising the legislative provisions of the Act, the Government of India made the Central Motor Vehicles Rules 1989."
"Muslim Personal Law (Shariat) Application Act, 1937","Muslim Personal Law (Shariat) Application Act, 1937
[Act No. 26 of 1937 dated 7th. October, 1937]1
An Act to make provision for the application of the Muslim Personal Law ( Shariat ) to Muslims 2[***]
WHEREASit is expedient to make provision for the application of the Muslim Personal Law ( Shariat ) to Muslims 2[***];
It is hereby enacted as follows:-",Act No. 26 of 1937,Not Available,Not Available,General,"All the Muslims in India are governed by the Muslim Personal Law (Shariat) Application Act, 1937. This law deals with marriage, succession, inheritance and charities among Muslims. The Dissolution of Muslim Marriages Act, 1939 deals with the circumstances in which Muslim women can obtain divorce and rights of Muslim women who have been divorced by their husbands and to provide for related matters. These laws are not applicable in the states of Goa, where Goa civil code is applicable for all persons irrespective of religion and state of Uttarakhand. These laws are not applicable to Indians, including Muslims, who married under the Special Marriage Act, 1954."
"Muslim Women (Protection of Rights on Marriage) Act, 2019","The Muslim Women (Protection of Rights on Marriage) Act, 2019
[Act No. 20 of 2019]
[31st July, 2019.]



Contents


 




Title



The Muslim Women(Protection of Rights on Marriage) Act, 2019




Sections


Particulars




Chapter I


Preliminary




1



Short title, extent and commencement.




2


Definitions




Chapter II


Declaration of Talaqyo be Void and Illegal




3


Talaq to be void and illegal.




4


Punishment for pronouncing talaq.




Chapter III


Protection of Rights of Married Muslim Women




5


Subsistence allowance.




6


Custody of minor children.




7


Offence to be cognizable, compoundable, etc.




8


Repeal and savings.






 Back



[Act No. 20 of 2019]",Act No. 20 of 2019,Not Available,Not Available,General,"The Muslim Women (Protection of Rights on Marriage) Act, 2019 is an Act of the Parliament of India criminalising triple talaq. In August 2017, the Supreme Court of India declared triple talaq, which enables Muslim men to instantly divorce their wives, to be unconstitutional. The minority opinion suggested the Parliament to consider appropriate legislation governing triple talaq in the Muslim community.
In December 2017, citing the Supreme Court judgment and cases of triple talaq in India, the government introduced The Muslim Women (Protection of Rights on Marriage) Bill, 2017. The bill proposed to make triple talaq in any form—spoken, in writing, or by electronic means—illegal and void. Punishment for breach of the law was proposed to include up to three years imprisonment for the husband pronouncing triple talaq. The bill was passed by the Lok Sabha, the lower house of the Parliament of India, on the same day, but was stalled by the opposition in the Rajya Sabha, the upper house.
The "
"Narcotic Drugs and Psychotropic Substances Act, 1985","Narcotic Drugs and Psychotropic Substances Act, 1985
[Act No. 61 of 1985 dated 16th. September, 1985]
An Act to consolidate and amend the law relating to narcotic drugs, to make stringent provisions for the control and regulation of operations relating to narcotic drugs and psychotropic substances [to provide for the forfeiture of property derived from, or used in, illicit traffic in narcotic drugs and psychotropic substances, to implement the provisions of the International Conventions on Narcotic Drugs and Psychotropic Substances] and for matters connected therewith.",Act No. 61 of 1985,Not Available,Not Available,General,"The Narcotic Drugs and Psychotropic Substances Act, 1985, commonly referred to as the NDPS Act, is an Act of the Parliament of India that prohibits the production/manufacturing/cultivation, possession, sale, purchase, transport, storage, and/or consumption of any narcotic drug or psychotropic substance. The bill was introduced in the Lok Sabha on 23 August 1985. It was passed by both the Houses of Parliament, received assent from then President Giani Zail Singh on 16 September 1985, and came into force on 14 November 1985. The NDPS Act has since been amended four times — in 1988, 2001, 2014 and 2021. The Act extends to the whole of India and applies also to all Indian citizens outside India and to all persons on ships and aircraft registered in India.
The Narcotics Control Bureau was set up under the act with effect from March 1986. The Act is designed to fulfill India's treaty obligations under the Single Convention on Narcotic Drugs, Convention on Psychotropic Substances, and United "
"National Council for Teacher Education Act, 1993","The National Council for Teacher Education Act, 1993
[Act No. 73 of 1993]
[29th December, 1993.]



Contents


Titele
The National Council for Teacher Education Act, 1993


Sections
Particulars


Chapter I
Preliminary


1.
Short title, extent and commencement


2.
Definitions


Chapter II
Establishment of the Council


3.
Establishment of the Council


4.
Term of office and conditions of service of Members


5.
Disqualification for office of Member


6.
Vacation of office of Member


7.
Meetings of the Council


8.
Vacancies, etc., not to invalidate proceedings of the Council


9.
Power to co-opt


10.
Appointment of officers and other employees of the Council


11.
Authentication of the orders and other instruments of the Council


Chapter III
Functions of the Council


12.
Functions of the Council


12A.
Power of Council to determine minimum standards of education of school teachers


13.
Inspection


Chapter IV
Recognition of Teacher Education Institutions


14.
Recognition of institutions offering course or training in teacher education


15.
Permission for a new course or training by recognised institution


16.
Affiliating body to grant affiliation after recognition or permission by the Council


17.
Contravention of provisions of the Act and consequences thereof


18.
Appeals


Chapter V
Bodies of the Council


19.
Executive Committee


20.
Regional Committees


21.
Power to terminate the Regional Committee


Chapter VI
Finance, Accounts and Audit


22.
Payment to the Council


23.
Fund of the Council


24.
Budget of the Council


25.
Annual report


26.
Accounts and audit


Chapter VII
Miscellaneous


27.
Delegation of powers and functions


28.
Protection of action taken in good faith


29.
Directions by the Central Government


30.
Power to supersede the Council


31.
Power to make regulations


32.
Offences by companies


33.
Rules and regulations to be laid before Parliament


34.
Power to remove difficulties






 Back



[Act No. 73 of 1993]
[29th December, 1993.]",Act No. 73 of 1993,Not Available,Not Available,General,"National Council for Teacher Education Act, 1993 is an Act of the Parliament of India which gave statutory recognition to the National Council for Teacher Education. and subsequently passed."
"National Food Security Act, 2013","National Food Security Act, 2013
No. 20 of 2013
[10th September, 2013]
An Act to provide for food and nutritional security in human life cycle approach, by ensuring access to adequate quantity of quality food at affordable prices to people to live a life with dignity and for matters connected therewith or incidental thereto.
BE it enacted by Parliament in the Sixty-fourth Year of the Republic of India as follows:",Not Available,"10th September, 2013",Not Available,General,"The National Food Security Act 2013, also known as Right to Food Act, is an Indian Act of Parliament which aims to provide subsidized food grains to approximately two thirds of the country's 1.4 billion people. It was signed into law on 12 September 2013, retroactive to 5 July 2013.
The National Food Security Act, 2013 (NFSA 2013) converts into legal entitlements for existing food security programmes of the Government of India. It includes the Midday Meal Scheme, Integrated Child Development Services scheme and the Public Distribution System. Further, the NFSA 2013 recognizes maternity entitlements. The Midday Meal Scheme and the Integrated Child Development Services Scheme are universal in nature whereas the PDS will reach about two-thirds of the population (75% in rural areas and 50% in urban areas).
Under the provisions of the Act, beneficiaries of the Public Distribution System (or, PDS) are entitled to 5 kilograms (11 lb) per person per month of cereals at the following prices:  
"
"National Green Tribunal Act, 2010","The National Green Tribunal Act, 2010
The National Green Tribunal Act, 2010 No. 19 of 2010 [2nd June, 2010.]
An Act to provide for the establishment of a National Green Tribunal for the effective and expeditious disposal of cases relating to environmental protection and conservation of forests and other natural resources including enforcement of any legal right relating to environment and giving relief and compensation for damages to persons and property and for matters connected therewith or incidental thereto.
AND WHEREAS India is a party to the decisions taken at the United Nations Conference on the Human Environment held at Stockholm in June, 1972, in which India participated, calling upon the States to take appropriate steps for the protection and improvement of the human environment;
AND WHEREAS decisions were taken at the United Nations Conference on Environment and Development held at Rio de Janeiro in June, 1992, in which India participated, calling upon the States to provide effective access to judicial and administrative proceedings, including redress and remedy and to develop national laws regarding liability and compensation for the victims of pollution and other environmental damage;
AND WHEREAS in the judicial pronouncement in India, the right to healthy environment has been construed as a part of the right to life under article 21 of the Constitution; AND WHEREAS it is considered expedient to implement the decisions taken at the aforesaid conferences and to have a National Green Tribunal in view of the involvement of multi-disciplinary issues relating to the environment. BE it enacted by Parliament in the Sixty-first Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The National Green Tribunal Act, 2010 is an Act of the Parliament of India which enables the creation of a special tribunal for the expeditious disposal of the cases pertaining to environmental issues.  It draws inspiration from Article 21 of India's constitution, on the protection of life and personal liberty, which assures the citizens of India the right to a healthy environment.  This Act serves as the basis for the establishment of the  National Green Tribunal (NGT)."
"National Institute of Mental Health and Neuro Sciences, Bangalore Act, 2012","The National Institute of Mental Health and Neuro Sciences, Bangalore Act, 2012
[Act No. 38 of 2012]
[13th September, 2012.]



Contents



Title
The National Institute of Mental Health and Neuro Sciences, Bangalore Act, 2012


Sections
Particulars


1.
Short title and commencement


2.
Declaration of National Institute of Mental Health and Neuro Sciences, Bangalore, as an institution of national importance


3.
Definitions


4.
Incorporation of Institute


5.
Composition of Institute


6.
Term of office of and vacancies among members


7.
Powers and functions of President


8.
Vice-President of Institute


9.
Allowances of President, Vice-President and other members


10.
Meetings of Institute


11.
Governing Body and other committees of Institute


12.
Staff of Institute


13.
Objects of Institute


14.
Functions of Institute


15.
Vesting of property


16.
Payment to Institute


17.
Fund of Institute


18.
Budget of Institute


19.
Accounts and audit


20.
Annual report


21.
Pension and provident funds


22.
Authentication of orders and instruments of Institute


23.
Acts and proceedings not to be invalidated by vacancies, etc


24.
Grant of medical degrees, diplomas, etc., by Institute


25.
Recognition of medical qualifications granted by Institute


26.
Control by Central Government


27.
Resolution of differences


28.
Returns and information


29.
Transfer of service of existing employees


30.
Power to make rules


31.
Power to make regulations


32.
Laying of rules and regulations before Parliament


33.
Power to remove difficulties






 Back



[Act No. 38 of 2012]
[13th September, 2012.]",Act No. 38 of 2012,Not Available,Not Available,General,"The National Institute of Mental Health and Neuro Sciences, Bangalore Act, 2012 is an act of the Parliament of India to give the status of Institute of National Importance to National Institute of Mental Health and Neurosciences, Bangalore. The Bill establishes NIMHANS as a more autonomous. NIMHANS is the fourth medical institute in the country to get this status after All India Institute of Medical Sciences,  Postgraduate Institute of Medical Education and Research and Jawaharlal Institute of Postgraduate Medical Education and Research"
"National Institutes of Technology, Science Education and Research Act, 2007","The National Institutes of Technology, Science Education and Research Act, 2007
[Act No. 29 of 2007]
[5th May, 2007.]",Act No. 29 of 2007,Not Available,Not Available,General,"The National Institutes of Technology, Science Education and Research Act, 2007 (original name: National Institutes of Technology Act, 2007; renamed by amendment of 2012) was enacted by the Parliament of India to declare India's National Institutes of Technology (NITs), Indian Institute of Engineering Science and Technology (IIEST) and Indian Institutes of Science Education and Research (IISERs) as Institutes of National Importance. The former Act received the assent of the President of India on 5 June 2007 and became effective on Independence Day, 2007. The National Institutes of Technology, Science Education and Research Act, 2007 is the second law for technical education institutions after the Indian Institutes of Technology Act of 1961.
NITs, IIEST and IISERs are centrally funded technical institutes in India. This Act declares them as institutions of national importance, along with the lines of the Indian Institutes of Technology (IITs) and makes them eligible for a larger amount "
"National Waterways Act, 2016","The National Waterways Act, 2016
[Act No. 17 of 2016]
[25th March, 2016.]",Act No. 17 of 2016,Not Available,Not Available,General,"The National Waterways Act, 2016 is an Act of Parliament of India. It was tabled in Lok Sabha by Minister of Shipping, Road Transport and Highways Nitin Gadkari on 5 May 2015. The Act merges 5 existing Acts which have declared the 5 National Waterways and proposes 101 additional National Waterways. The Act came into force from 12 April 2016."
"Negotiable Instruments Act, 1881"," Negotiable Instruments Act, 1881
[Act No. 26 of Year 1881, dated 9-12-1881]
An Act to define the law relating to promissory notes, bills of exchange and cheques Whereas it is expedient to define and amend the law relating to promissory notes, bills of exchange and cheques;
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,Penalty,"Negotiable Instruments Act, 1881 is an act in India dating from the British colonial rule, that is still in force with significant amendments recently. It deals with the law governing the usage of negotiable instruments in India. The word ""negotiable"" means transferable and an ""instrument"" is a document giving legal effect by the virtue of the law"
"North-Eastern Areas (Reorganisation) Act, 1971","The North-Eastern Areas (Reorganisation) Act, 1971
[Act No. 81 of 1971]
[30th December, 1971.]",Act No. 81 of 1971,Not Available,Not Available,General,"The North-Eastern Areas (Reorganisation) Act, 1971 was a major reform of the boundaries of India's North-East region into States and union territories."
